type,symbol,date,shares,limit_price,fill_price,fees
buy,sh.603000,2023-08-16,2762,31.97,31.63,21.84
buy,sh.601099,2023-08-17,17644,4.96,4.88,21.53
sell,sh.600157,2023-08-18,58880,,1.46,107.46
sell,sh.600516,2023-08-18,14501,,6.0,108.76
sell,sh.600536,2023-08-18,1604,,51.28,102.82
buy,sh.603728,2023-08-18,1376,63.71,60.33,20.75
sell,sh.603728,2023-08-22,1376,,54.21,93.24
sell,sh.601099,2023-08-23,17644,,4.43,97.7
sell,sh.603000,2023-08-23,2762,,37.63,129.92
sell,sh.688318,2023-08-23,1159,,70.0,101.41
buy,sh.601128,2023-08-24,15840,5.48,5.46,21.62
sell,sh.601128,2023-08-25,15840,,5.53,109.49
buy,sh.600348,2023-08-30,12894,6.74,6.72,21.66
sell,sh.600348,2023-08-31,12894,,6.67,107.5
buy,sh.600606,2023-08-31,28298,3.07,2.99,21.15
buy,sh.600498,2023-09-01,4960,17.48,17.22,21.35
sell,sh.600498,2023-09-04,4960,,18.06,111.97
sell,sh.600606,2023-09-04,28298,,2.94,104.0
buy,sh.600332,2023-09-04,2999,28.95,28.87,21.65
sell,sh.600332,2023-09-05,2999,,28.95,108.53
buy,sh.600157,2023-09-05,58864,1.48,1.48,21.78
buy,sh.601918,2023-09-05,18516,4.71,4.69,21.71
sell,sh.601918,2023-09-06,18516,,4.71,109.01
buy,sh.600098,2023-09-06,15577,5.6,5.56,21.65
buy,sh.601001,2023-09-06,8821,9.88,9.88,21.79
buy,sh.600118,2023-09-07,3229,26.96,26.55,21.43
buy,sh.600131,2023-09-07,5558,15.66,15.47,21.5
sell,sh.601001,2023-09-11,8821,,10.02,110.48
buy,sh.600021,2023-09-15,9869,8.82,8.77,21.64
buy,sh.600126,2023-09-18,20330,4.27,4.23,21.5
buy,sh.600143,2023-09-18,10901,7.97,7.84,21.37
buy,sh.600177,2023-09-19,14219,6.1,6.09,21.65
sell,sh.600157,2023-10-11,58864,,1.38,101.54
sell,sh.600098,2023-10-12,15577,,5.36,104.37
sell,sh.600131,2023-10-12,5558,,13.75,95.53
buy,sh.603298,2023-10-12,4765,17.61,17.54,20.89
sell,sh.600118,2023-10-13,3229,,25.85,104.34
sell,sh.600177,2023-10-16,14219,,5.96,105.93
sell,sh.603298,2023-10-16,4765,,17.03,101.43
sell,sh.600143,2023-10-19,10901,,7.51,102.33
sell,sh.600126,2023-10-20,20330,,3.97,100.89
sell,sh.600021,2023-10-23,9869,,8.04,99.18
buy,sh.600118,2023-10-26,2998,27.69,27.54,20.64
buy,sh.601001,2023-10-26,7660,10.84,10.63,20.36
buy,sh.688019,2023-10-26,782,106.07,105.67,20.66
buy,sh.688052,2023-10-26,645,128.64,128.55,20.73
sell,sh.601001,2023-10-27,7660,,10.69,102.36
buy,sh.688318,2023-10-27,1131,73.73,71.69,20.27
buy,sh.688387,2023-10-27,10695,7.8,7.68,20.53
buy,sz.000050,2023-10-27,8574,9.73,9.54,20.45
buy,sz.002945,2023-10-27,5954,14.01,13.81,20.56
buy,sz.300474,2023-10-27,1022,81.58,80.83,20.65
sell,sz.000050,2023-10-30,8574,,9.68,103.75
buy,sh.600884,2023-10-30,5987,13.92,13.89,20.79
buy,sz.002756,2023-10-30,1796,46.38,46.18,20.73
sell,sh.600118,2023-10-31,2998,,27.51,103.09
sell,sh.600884,2023-10-31,5987,,13.73,102.75
sell,sh.688019,2023-10-31,782,,110.18,107.7
sell,sh.688052,2023-10-31,645,,144.04,116.13
sell,sh.688318,2023-10-31,1131,,74.13,104.8
sell,sh.688387,2023-10-31,10695,,7.56,101.07
sell,sz.002756,2023-10-31,1796,,46.75,104.95
sell,sz.002945,2023-10-31,5954,,13.96,103.9
sell,sz.300474,2023-10-31,1022,,81.58,104.22
buy,sh.601608,2023-10-31,23197,3.64,3.62,20.99
buy,sh.603345,2023-10-31,711,118.68,118.46,21.06
sell,sh.601608,2023-11-01,23197,,3.65,105.84
sell,sh.603345,2023-11-01,711,,118.52,105.33
buy,sh.688213,2023-11-07,1565,54.14,54.08,21.16
buy,sz.301308,2023-11-07,787,107.68,107.14,21.08
sell,sh.688213,2023-11-08,1565,,54.16,105.95
sell,sz.301308,2023-11-08,787,,106.82,105.08
buy,sz.000987,2023-11-08,13412,6.32,6.27,21.02
buy,sz.300136,2023-11-09,3246,26.1,25.41,20.62
sell,sz.000987,2023-11-13,13412,,6.17,103.44
buy,sz.002797,2023-11-13,13649,6.2,6.14,20.95
sell,sz.300136,2023-11-14,3246,,25.94,105.25
buy,sz.000050,2023-11-14,7780,10.92,10.86,21.12
buy,sz.300570,2023-11-14,2288,37.13,36.77,21.03
sell,sz.000050,2023-11-15,7780,,10.96,106.59
sell,sz.002797,2023-11-15,13649,,6.23,106.29
sell,sz.300570,2023-11-15,2288,,36.7,104.96
