date,symbol
2022-01-11,sz.000623
2022-01-11,sh.600820
2022-01-11,sz.000728
2022-01-11,sh.600126
2022-01-11,sz.000709
2022-01-11,sh.601880
2022-01-11,sz.000429
2022-01-11,sh.601997
2022-01-11,sh.600901
2022-01-11,sh.601019
2022-01-11,sz.002966
2022-01-11,sz.002926
2022-01-11,sh.600177
2022-01-11,sz.002958
2022-01-11,sh.600208
2022-01-11,sh.601333
2022-01-11,sh.600390
2022-01-11,sh.600720
2022-01-11,sh.601577
2022-01-11,sz.000785
2022-01-11,sh.600352
2022-01-11,sz.000528
2022-01-11,sh.600663
2022-01-11,sz.000703
2022-01-12,sh.600398
2022-01-12,sh.600339
2022-01-12,sz.000563
2022-01-12,sh.600583
2022-01-12,sz.000783
2022-01-12,sz.000623
2022-01-12,sh.600820
2022-01-12,sz.000728
2022-01-12,sh.600126
2022-01-12,sz.000709
2022-01-12,sh.601880
2022-01-12,sz.000429
2022-01-12,sz.000050
2022-01-12,sh.601997
2022-01-12,sh.600901
2022-01-12,sh.601019
2022-01-12,sh.601665
2022-01-12,sz.002423
2022-01-12,sz.002966
2022-01-12,sh.600177
2022-01-12,sz.002958
2022-01-12,sh.601333
2022-01-12,sh.600390
2022-01-12,sh.600720
2022-01-12,sh.601577
2022-01-12,sz.000785
2022-01-12,sh.600352
2022-01-12,sz.000528
2022-01-12,sh.600663
2022-01-12,sz.000703
2022-01-13,sh.600398
2022-01-13,sh.601615
2022-01-13,sh.600884
2022-01-13,sz.000783
2022-01-13,sz.000623
2022-01-13,sh.600820
2022-01-13,sz.000728
2022-01-13,sz.000429
2022-01-13,sh.601997
2022-01-13,sz.000967
2022-01-13,sh.600901
2022-01-13,sz.002966
2022-01-13,sz.002608
2022-01-13,sz.002926
2022-01-13,sh.600177
2022-01-13,sh.600909
2022-01-13,sz.002958
2022-01-13,sh.603290
2022-01-13,sz.002673
2022-01-13,sh.603650
2022-01-13,sh.688037
2022-01-13,sh.600132
2022-01-13,sh.600390
2022-01-13,sh.601577
2022-01-13,sz.002500
2022-01-13,sz.300474
2022-01-13,sz.300223
2022-01-13,sh.600126
2022-01-13,sz.002821
2022-01-13,sz.000703
2022-01-14,sh.600398
2022-01-14,sh.600884
2022-01-14,sz.000783
2022-01-14,sz.000623
2022-01-14,sh.600820
2022-01-14,sz.002984
2022-01-14,sz.000728
2022-01-14,sz.000429
2022-01-14,sz.002568
2022-01-14,sh.601997
2022-01-14,sh.600901
2022-01-14,sz.002966
2022-01-14,sz.002926
2022-01-14,sh.600177
2022-01-14,sh.600909
2022-01-14,sz.002958
2022-01-14,sh.603290
2022-01-14,sz.002673
2022-01-14,sh.603650
2022-01-14,sh.601333
2022-01-14,sh.688037
2022-01-14,sh.601016
2022-01-14,sh.600390
2022-01-14,sh.601577
2022-01-14,sz.002500
2022-01-14,sz.300474
2022-01-14,sz.300390
2022-01-14,sz.300223
2022-01-14,sh.600126
2022-01-14,sz.000703
2022-01-17,sh.600398
2022-01-17,sz.000783
2022-01-17,sz.000623
2022-01-17,sh.600820
2022-01-17,sz.000728
2022-01-17,sz.000429
2022-01-17,sz.000050
2022-01-17,sz.002568
2022-01-17,sh.601997
2022-01-17,sh.600901
2022-01-17,sh.601665
2022-01-17,sz.002966
2022-01-17,sz.002926
2022-01-17,sh.600177
2022-01-17,sh.600909
2022-01-17,sz.002958
2022-01-17,sz.002673
2022-01-17,sh.603650
2022-01-17,sh.601333
2022-01-17,sh.688037
2022-01-17,sh.601016
2022-01-17,sh.600720
2022-01-17,sh.600390
2022-01-17,sh.601577
2022-01-17,sz.002500
2022-01-17,sz.300474
2022-01-17,sz.300390
2022-01-17,sz.300223
2022-01-17,sh.600126
2022-01-17,sz.000703
2022-01-18,sh.600398
2022-01-18,sh.600170
2022-01-18,sz.000783
2022-01-18,sh.600820
2022-01-18,sz.000728
2022-01-18,sz.000429
2022-01-18,sz.000050
2022-01-18,sz.002568
2022-01-18,sh.601997
2022-01-18,sh.600704
2022-01-18,sh.600901
2022-01-18,sh.601665
2022-01-18,sz.002423
2022-01-18,sz.002966
2022-01-18,sz.002926
2022-01-18,sh.600177
2022-01-18,sh.600909
2022-01-18,sz.002958
2022-01-18,sh.601567
2022-01-18,sz.002673
2022-01-18,sh.601333
2022-01-18,sh.600390
2022-01-18,sh.600720
2022-01-18,sh.601577
